ref_conv,gen_conv
{'scores': [0.005318886134773493]},{'scores': [0.0013838591985404491]}
{'scores': [0.034665536135435104]},{'scores': [0.02014823630452156]}
{'scores': [0.00619820412248373]},{'scores': [0.0031494684517383575]}
{'scores': [0.0003074292908422649]},{'scores': [0.0006659205537289381]}
{'scores': [5.048906848159618e-10]},{'scores': [2.36936137376631e-09]}
{'scores': [0.0008063191780820489]},{'scores': [0.0006603196961805224]}
{'scores': [0.0007550310692749918]},{'scores': [0.004603677429258823]}
{'scores': [1.978181717277039e-05]},{'scores': [1.4617087799706496e-05]}
{'scores': [0.01808609999716282]},{'scores': [0.014268273487687111]}
{'scores': [0.00015493878163397312]},{'scores': [0.0004498610505834222]}
{'scores': [0.40016970038414]},{'scores': [0.19608496129512787]}
{'scores': [0.06940269470214844]},{'scores': [0.02750721201300621]}
{'scores': [0.3122331500053406]},{'scores': [0.22118763625621796]}
{'scores': [0.0007280552526935935]},{'scores': [1.8874703755500377e-06]}
{'scores': [0.04027096554636955]},{'scores': [0.025962119922041893]}
{'scores': [0.0206023957580328]},{'scores': [0.0564718134701252]}
{'scores': [0.013643546961247921]},{'scores': [0.003401905996724963]}
{'scores': [0.01031499169766903]},{'scores': [0.0014479773817583919]}
{'scores': [0.006471097003668547]},{'scores': [0.0026328207459300756]}
{'scores': [0.10707636922597885]},{'scores': [0.08349611610174179]}
{'scores': [0.0008592460071668029]},{'scores': [0.00010270764323649928]}
{'scores': [0.07096482068300247]},{'scores': [0.049080174416303635]}
{'scores': [0.0010005872463807464]},{'scores': [0.0012441925937309861]}
{'scores': [0.00710623525083065]},{'scores': [0.006017087027430534]}
{'scores': [0.00456512114033103]},{'scores': [0.005347910802811384]}
{'scores': [0.013588238507509232]},{'scores': [0.00139910529833287]}
{'scores': [0.004409351386129856]},{'scores': [0.0002454869681969285]}
{'scores': [0.009992595762014389]},{'scores': [6.030574013493606e-07]}
{'scores': [0.09222432225942612]},{'scores': [0.14767982065677643]}
{'scores': [0.004431074019521475]},{'scores': [0.009380826726555824]}
{'scores': [0.00045765674440190196]},{'scores': [0.010141845792531967]}
{'scores': [0.10019594430923462]},{'scores': [0.353855699300766]}
{'scores': [0.0057358695194125175]},{'scores': [0.0006571421399712563]}
{'scores': [0.0006300743552856147]},{'scores': [4.634061042452231e-05]}
{'scores': [1.0383279231973574e-06]},{'scores': [0.008507626131176949]}
{'scores': [0.010000484995543957]},{'scores': [0.008164962753653526]}
{'scores': [0.000572883989661932]},{'scores': [0.0010574955958873034]}
{'scores': [0.19109486043453217]},{'scores': [0.06538137793540955]}
{'scores': [0.00019455420260783285]},{'scores': [0.001110582146793604]}
{'scores': [0.00031738742836751044]},{'scores': [0.0002654251002240926]}
{'scores': [0.00011108451144536957]},{'scores': [5.512806092156097e-05]}
{'scores': [0.020262841135263443]},{'scores': [0.03564244136214256]}
{'scores': [3.1874573323875666e-05]},{'scores': [0.00012909265933558345]}
{'scores': [0.0031164910178631544]},{'scores': [0.00050184759311378]}
{'scores': [0.018051793798804283]},{'scores': [0.024987632408738136]}
{'scores': [0.07314522564411163]},{'scores': [0.05140583962202072]}
{'scores': [0.00011953267676290125]},{'scores': [3.688466313178651e-05]}
{'scores': [2.2018166134785133e-07]},{'scores': [2.6429528787730305e-08]}
{'scores': [0.00014993330114521086]},{'scores': [1.3301605576998554e-05]}
{'scores': [0.01219466794282198]},{'scores': [0.03395373374223709]}
{'scores': [0.06293843686580658]},{'scores': [0.012373444624245167]}
{'scores': [0.05659789219498634]},{'scores': [0.05537746474146843]}
{'scores': [5.518047601071885e-06]},{'scores': [0.03289828076958656]}
{'scores': [0.051070231944322586]},{'scores': [0.08447949588298798]}
{'scores': [0.00328885018825531]},{'scores': [0.0009181954083032906]}
{'scores': [3.1970516829460394e-06]},{'scores': [0.0012542802141979337]}
{'scores': [0.11791486293077469]},{'scores': [0.07629507035017014]}
{'scores': [0.008200567215681076]},{'scores': [0.06700199097394943]}
{'scores': [0.03377450257539749]},{'scores': [0.24070574343204498]}
{'scores': [0.0002747630642261356]},{'scores': [0.00048589357174932957]}
{'scores': [0.0007825274369679391]},{'scores': [0.005628623068332672]}
{'scores': [2.48994638241129e-05]},{'scores': [2.3322980268858373e-05]}
{'scores': [5.425298513728194e-05]},{'scores': [0.0003641773364506662]}
{'scores': [0.00022357127454597503]},{'scores': [1.1836341400339734e-05]}
{'scores': [0.004108124412596226]},{'scores': [0.013972978107631207]}
{'scores': [0.0006090471870265901]},{'scores': [0.018529923632740974]}
{'scores': [0.000595691439229995]},{'scores': [0.006050013471394777]}
{'scores': [0.00016243253776337951]},{'scores': [7.444185030180961e-05]}
{'scores': [0.12981104850769043]},{'scores': [0.003265774343162775]}
{'scores': [0.07813777029514313]},{'scores': [0.07819163799285889]}
{'scores': [0.0006213770830072463]},{'scores': [0.00047108589205890894]}
{'scores': [0.000389463355531916]},{'scores': [0.0019523841328918934]}
{'scores': [0.3346990942955017]},{'scores': [0.13814690709114075]}
{'scores': [0.016562020406126976]},{'scores': [0.012046797201037407]}
{'scores': [0.007498038001358509]},{'scores': [0.003366985125467181]}
{'scores': [0.007218383718281984]},{'scores': [0.01818249002099037]}
{'scores': [0.0013070511631667614]},{'scores': [0.0016107468400150537]}
{'scores': [4.905366495222552e-06]},{'scores': [0.0024178766179829836]}
{'scores': [0.034682758152484894]},{'scores': [0.04769769683480263]}
{'scores': [3.6078326957067475e-05]},{'scores': [0.0003825505846180022]}
{'scores': [0.0017754380824044347]},{'scores': [0.0005084387958049774]}
{'scores': [0.08152729272842407]},{'scores': [0.0514678992331028]}
{'scores': [0.013082798570394516]},{'scores': [0.017835034057497978]}
{'scores': [5.634585420466465e-08]},{'scores': [2.366317858104594e-06]}
{'scores': [0.08554243296384811]},{'scores': [0.0480668842792511]}
{'scores': [0.13961435854434967]},{'scores': [0.19967809319496155]}
{'scores': [0.0042355675250291824]},{'scores': [0.0021259968634694815]}
{'scores': [0.0001400363544235006]},{'scores': [0.00027006660820916295]}
{'scores': [0.22431497275829315]},{'scores': [0.14437952637672424]}
{'scores': [0.015078944154083729]},{'scores': [0.011500786058604717]}
{'scores': [0.00047063661622814834]},{'scores': [0.00013307669723872095]}
{'scores': [0.010579120367765427]},{'scores': [0.009278777986764908]}
{'scores': [0.00020113644131924957]},{'scores': [0.00010732438386185095]}
{'scores': [0.003576691495254636]},{'scores': [0.014974731020629406]}
{'scores': [0.0013496405445039272]},{'scores': [0.0031126949470490217]}
{'scores': [0.003073411528021097]},{'scores': [0.0015973959816619754]}
{'scores': [0.0020269404631108046]},{'scores': [0.0034210633020848036]}
{'scores': [0.0011687830556184053]},{'scores': [0.00023495878849644214]}
{'scores': [0.009294074960052967]},{'scores': [0.002798831555992365]}
{'scores': [0.06643343716859818]},{'scores': [0.21279922127723694]}
{'scores': [0.000123858088045381]},{'scores': [0.0002098284603562206]}
{'scores': [0.006588429678231478]},{'scores': [0.010301860980689526]}
{'scores': [0.005749313626438379]},{'scores': [0.01794949360191822]}
{'scores': [0.004807824268937111]},{'scores': [0.00026610211352817714]}
{'scores': [0.31095924973487854]},{'scores': [0.24608862400054932]}
{'scores': [0.023429807275533676]},{'scores': [0.0028408437501639128]}
{'scores': [0.00030879024416208267]},{'scores': [0.000808055920060724]}
{'scores': [0.043646425008773804]},{'scores': [0.033966559916734695]}
{'scores': [0.08381275087594986]},{'scores': [0.17300403118133545]}
{'scores': [0.00027353150653652847]},{'scores': [6.1300816014409065e-06]}
{'scores': [8.317379251820967e-05]},{'scores': [1.938123688205451e-07]}
{'scores': [0.001480631995946169]},{'scores': [0.00034743602736853063]}
{'scores': [0.013682282529771328]},{'scores': [0.05952741950750351]}
{'scores': [0.0001229722984135151]},{'scores': [0.00023321009939536452]}
{'scores': [0.03560555353760719]},{'scores': [0.000104028447822202]}
{'scores': [0.008794109337031841]},{'scores': [0.004459812771528959]}
{'scores': [0.005674361251294613]},{'scores': [0.005136981140822172]}
{'scores': [0.030054446309804916]},{'scores': [0.030054446309804916]}
{'scores': [0.00027443948783911765]},{'scores': [0.001396210864186287]}
{'scores': [0.03232908621430397]},{'scores': [0.04097992926836014]}
{'scores': [0.13322855532169342]},{'scores': [0.1607767790555954]}
{'scores': [1.901468749565538e-06]},{'scores': [4.278192591300467e-06]}
{'scores': [0.006730622611939907]},{'scores': [0.006770549342036247]}
{'scores': [0.03485460951924324]},{'scores': [0.011598674580454826]}
{'scores': [0.0009115547873079777]},{'scores': [0.003460156498476863]}
{'scores': [4.0305940274265595e-06]},{'scores': [2.743167669905233e-06]}
{'scores': [0.012277721427381039]},{'scores': [0.008194217458367348]}
{'scores': [0.001518706325441599]},{'scores': [0.0003273382899351418]}
{'scores': [0.07317125052213669]},{'scores': [0.001310043502599001]}
{'scores': [0.0004290583310648799]},{'scores': [0.002187759382650256]}
{'scores': [0.005852085072547197]},{'scores': [0.02094796672463417]}
{'scores': [0.0026672561652958393]},{'scores': [0.00108911725692451]}
{'scores': [0.023106414824724197]},{'scores': [0.026597298681735992]}
{'scores': [3.8170721381902695e-05]},{'scores': [1.2231235814397223e-05]}
{'scores': [0.028222830966114998]},{'scores': [0.012848099693655968]}
{'scores': [0.0004241086426191032]},{'scores': [0.00015061306476127356]}
{'scores': [0.0009936884744092822]},{'scores': [0.008098996244370937]}
{'scores': [3.512305056574405e-06]},{'scores': [1.8305058802070562e-07]}
{'scores': [0.011974822729825974]},{'scores': [0.13635754585266113]}
{'scores': [0.00015832205826882273]},{'scores': [0.0003258530923631042]}
{'scores': [0.0003316910588182509]},{'scores': [0.0001421339256921783]}
{'scores': [0.08450160920619965]},{'scores': [0.00105661537963897]}
{'scores': [0.0008873800397850573]},{'scores': [0.0005682483897544444]}
{'scores': [0.004423898179084063]},{'scores': [0.02775978296995163]}
{'scores': [2.957756441901438e-05]},{'scores': [0.040479835122823715]}
{'scores': [0.009975477121770382]},{'scores': [0.006671098526567221]}
{'scores': [0.0013383872574195266]},{'scores': [0.0012156773591414094]}
{'scores': [0.0006516232970170677]},{'scores': [0.0003306239377707243]}
{'scores': [0.07336042821407318]},{'scores': [0.09072187542915344]}
{'scores': [0.04836461693048477]},{'scores': [0.026229407638311386]}
{'scores': [0.031090952455997467]},{'scores': [0.04311727359890938]}
{'scores': [0.004862276371568441]},{'scores': [0.01581413857638836]}
{'scores': [0.098728708922863]},{'scores': [0.04334588348865509]}
{'scores': [0.04262495040893555]},{'scores': [0.284004271030426]}
{'scores': [0.023842982947826385]},{'scores': [0.03715132176876068]}
{'scores': [9.350941354568931e-08]},{'scores': [7.816459479670357e-09]}
{'scores': [0.18037959933280945]},{'scores': [0.16759005188941956]}
{'scores': [0.0049204579554498196]},{'scores': [0.0013362022582441568]}
{'scores': [0.004851124249398708]},{'scores': [0.01280039083212614]}
{'scores': [3.976550488005159e-06]},{'scores': [2.917019799042464e-07]}
{'scores': [1.561869794386439e-05]},{'scores': [1.7441726640754496e-07]}
{'scores': [0.0030414070934057236]},{'scores': [0.00017097008822020143]}
{'scores': [0.00017415001639164984]},{'scores': [6.517815927509218e-05]}
{'scores': [0.007319645956158638]},{'scores': [0.013022230938076973]}
{'scores': [0.0009460579021833837]},{'scores': [0.0006309114396572113]}
{'scores': [0.02023034356534481]},{'scores': [0.025825489312410355]}
{'scores': [0.0008528704638592899]},{'scores': [0.0009232087177224457]}
{'scores': [0.00012425225577317178]},{'scores': [5.451867309602676e-06]}
{'scores': [0.002566161099821329]},{'scores': [0.007120013236999512]}
{'scores': [0.0032176966778934]},{'scores': [0.00029735968564637005]}
{'scores': [0.0018866972532123327]},{'scores': [0.04636282101273537]}
{'scores': [0.0011044418206438422]},{'scores': [0.2436494529247284]}
{'scores': [0.0005806706030853093]},{'scores': [0.0013739393325522542]}
{'scores': [0.0031614345498383045]},{'scores': [0.005750854033976793]}
{'scores': [0.0005153723177500069]},{'scores': [0.0002002155379159376]}
{'scores': [0.027645962312817574]},{'scores': [0.0003643340023700148]}
{'scores': [0.08047351241111755]},{'scores': [0.09266889095306396]}
{'scores': [0.014835691079497337]},{'scores': [0.008167987689375877]}
{'scores': [0.0022029359824955463]},{'scores': [0.002711827866733074]}
{'scores': [0.00599270686507225]},{'scores': [0.00506236869841814]}
{'scores': [1.7921031030709855e-05]},{'scores': [8.416368473262992e-06]}
{'scores': [0.0018064359901472926]},{'scores': [3.2101561373565346e-05]}
{'scores': [0.0045098778791725636]},{'scores': [0.04108455777168274]}
{'scores': [0.00400865962728858]},{'scores': [0.004452736582607031]}
{'scores': [0.0015841185813769698]},{'scores': [0.0002672536647878587]}
{'scores': [3.548032978528681e-08]},{'scores': [4.241416900185868e-05]}
{'scores': [0.03420213609933853]},{'scores': [0.0009771054610610008]}
{'scores': [0.002847244031727314]},{'scores': [0.005585004575550556]}
{'scores': [0.014668229967355728]},{'scores': [0.018120771273970604]}
{'scores': [0.0024346380960196257]},{'scores': [0.0056366403587162495]}
{'scores': [0.18521089851856232]},{'scores': [0.14336948096752167]}
{'scores': [5.36770312464796e-06]},{'scores': [5.98494795389648e-11]}
{'scores': [0.07061699777841568]},{'scores': [0.022114867344498634]}
{'scores': [0.05340677872300148]},{'scores': [0.013164966367185116]}
{'scores': [0.0006283748662099242]},{'scores': [1.4890960301272571e-05]}
{'scores': [0.053615059703588486]},{'scores': [0.014690031297504902]}
{'scores': [0.004026816692203283]},{'scores': [0.006566699594259262]}
{'scores': [0.012803887017071247]},{'scores': [0.0033648612443357706]}
{'scores': [0.00843717809766531]},{'scores': [4.081521910848096e-05]}
{'scores': [0.14516444504261017]},{'scores': [0.13413935899734497]}
{'scores': [0.0017888747388496995]},{'scores': [0.001568312756717205]}
{'scores': [0.023438362404704094]},{'scores': [0.07302796095609665]}
{'scores': [0.0018658797489479184]},{'scores': [0.017254270613193512]}
{'scores': [0.0010376963764429092]},{'scores': [0.6565976738929749]}
{'scores': [0.004490204621106386]},{'scores': [0.0641014352440834]}
{'scores': [0.14973899722099304]},{'scores': [0.003524714382365346]}
{'scores': [2.6955437988362974e-06]},{'scores': [1.0120344086317345e-05]}
{'scores': [0.0002778727503027767]},{'scores': [0.00039336475310847163]}
{'scores': [0.011933809146285057]},{'scores': [0.03011835739016533]}
{'scores': [0.0011445845011621714]},{'scores': [0.002012422075495124]}
{'scores': [0.04696967825293541]},{'scores': [0.03083110973238945]}
{'scores': [0.00045794303878210485]},{'scores': [1.7356816897518e-05]}
{'scores': [0.12466809898614883]},{'scores': [0.01704799383878708]}
{'scores': [0.0058135841973125935]},{'scores': [0.029932599514722824]}
{'scores': [0.09919790178537369]},{'scores': [0.15310782194137573]}
{'scores': [0.0006478846189565957]},{'scores': [0.0006319339736364782]}
{'scores': [0.002295278711244464]},{'scores': [0.006835896987468004]}
{'scores': [0.00026852457085624337]},{'scores': [0.0003402979054953903]}
{'scores': [0.0016188517911359668]},{'scores': [0.0006456880364567041]}
{'scores': [5.488876922754571e-06]},{'scores': [1.1590688018259243e-06]}
{'scores': [0.002881768625229597]},{'scores': [0.3645364046096802]}
{'scores': [0.04061233624815941]},{'scores': [0.027446763589978218]}
{'scores': [7.822449106242857e-07]},{'scores': [1.1328712389513385e-05]}
{'scores': [0.006759054027497768]},{'scores': [0.006551539991050959]}
{'scores': [0.023168159648776054]},{'scores': [0.0007346841157414019]}
{'scores': [0.004317446146160364]},{'scores': [0.00601613475009799]}
{'scores': [0.011304082348942757]},{'scores': [0.0003439594875089824]}
{'scores': [0.0018271756125614047]},{'scores': [0.0029893633909523487]}
{'scores': [0.00011736525630112737]},{'scores': [0.0009295297204516828]}
{'scores': [0.0018716235645115376]},{'scores': [0.0020029423758387566]}
{'scores': [0.023125914856791496]},{'scores': [0.009198855608701706]}
{'scores': [6.462128658313304e-05]},{'scores': [0.0001918868802022189]}
{'scores': [0.03402220085263252]},{'scores': [0.030945802107453346]}
{'scores': [0.0030396291986107826]},{'scores': [0.010336681269109249]}
{'scores': [0.0017431959277018905]},{'scores': [0.00041993040940724313]}
{'scores': [1.2861967491062387e-08]},{'scores': [5.592144702859514e-08]}
{'scores': [4.48870487161912e-05]},{'scores': [1.8971377357956953e-08]}
{'scores': [0.003612130880355835]},{'scores': [0.0009771054610610008]}
{'scores': [0.00010032828140538186]},{'scores': [0.020145149901509285]}
{'scores': [0.08483478426933289]},{'scores': [0.09219109266996384]}
{'scores': [0.011997152119874954]},{'scores': [0.006300599314272404]}
{'scores': [0.02924444153904915]},{'scores': [0.07779344171285629]}
{'scores': [5.131179204909131e-05]},{'scores': [1.0697968718886841e-05]}
{'scores': [0.02576213888823986]},{'scores': [0.01915762573480606]}
{'scores': [5.925338691925575e-11]},{'scores': [0.014940718188881874]}
{'scores': [0.00021976008429192007]},{'scores': [2.3916254576761276e-05]}
{'scores': [0.006946912966668606]},{'scores': [0.11172608286142349]}
{'scores': [0.25603237748146057]},{'scores': [0.3228203058242798]}
{'scores': [0.0017100338591262698]},{'scores': [4.9716385547071695e-05]}
{'scores': [0.011696855537593365]},{'scores': [0.010034031234681606]}
{'scores': [0.001439660438336432]},{'scores': [0.1837991625070572]}
{'scores': [4.071807211403211e-07]},{'scores': [0.00030164761119522154]}
{'scores': [0.0026828080881386995]},{'scores': [0.01722499541938305]}
{'scores': [0.024908605962991714]},{'scores': [0.029249491170048714]}
{'scores': [3.8843036236357875e-06]},{'scores': [8.985663839666813e-07]}
{'scores': [0.016101114451885223]},{'scores': [0.011726705357432365]}
{'scores': [0.002436741953715682]},{'scores': [0.001572406035847962]}
{'scores': [0.2448793351650238]},{'scores': [0.1942262202501297]}
{'scores': [0.0010403195628896356]},{'scores': [0.0009401176357641816]}
{'scores': [0.0007486569811590016]},{'scores': [0.007588659878820181]}
{'scores': [0.048077747225761414]},{'scores': [0.1151394173502922]}
{'scores': [0.0168574508279562]},{'scores': [0.014010771177709103]}
{'scores': [0.001187554677017033]},{'scores': [0.0014148819027468562]}
{'scores': [0.007093720603734255]},{'scores': [0.039922524243593216]}
{'scores': [0.0044188229367136955]},{'scores': [0.007052763365209103]}
{'scores': [0.00036982877645641565]},{'scores': [0.002066828077659011]}
{'scores': [0.025404691696166992]},{'scores': [0.012393966317176819]}
{'scores': [0.0013385586207732558]},{'scores': [0.014164852909743786]}
{'scores': [0.006039213854819536]},{'scores': [0.0005594386602751911]}
{'scores': [0.009306934662163258]},{'scores': [0.014355883933603764]}
{'scores': [0.004254012834280729]},{'scores': [0.0032710309606045485]}
{'scores': [0.004087252542376518]},{'scores': [0.00040756750968284905]}
{'scores': [0.00027327550924383104]},{'scores': [2.249524868602748e-06]}
{'scores': [1.2055236311425688e-06]},{'scores': [1.542643644825148e-06]}
{'scores': [0.021086739376187325]},{'scores': [0.03244136646389961]}
{'scores': [0.1481165885925293]},{'scores': [0.14340628683567047]}
{'scores': [0.04583054408431053]},{'scores': [0.04712390899658203]}
{'scores': [0.03131021931767464]},{'scores': [0.005931159481406212]}
{'scores': [0.00010680370905902237]},{'scores': [0.0011024388950318098]}
{'scores': [0.0190107524394989]},{'scores': [0.005205279216170311]}
{'scores': [0.03363582864403725]},{'scores': [0.023786846548318863]}
{'scores': [0.0003204439708497375]},{'scores': [0.000319621991366148]}
{'scores': [0.003056533169001341]},{'scores': [0.0019267539028078318]}
{'scores': [0.0005542526487261057]},{'scores': [0.00010009587276726961]}
{'scores': [0.0031494684517383575]},{'scores': [0.0025189765729010105]}
{'scores': [0.0009370025363750756]},{'scores': [3.6764988635695772e-06]}
{'scores': [5.1663059821294155e-06]},{'scores': [4.420854020281695e-05]}
{'scores': [0.02202698402106762]},{'scores': [0.01466570794582367]}
{'scores': [0.12182414531707764]},{'scores': [0.29360002279281616]}
{'scores': [0.00016026529192458838]},{'scores': [2.595965634100139e-05]}
{'scores': [0.004084458574652672]},{'scores': [0.048051778227090836]}
{'scores': [0.004321272484958172]},{'scores': [0.010265026241540909]}
{'scores': [5.710454206564464e-05]},{'scores': [2.0999914340791292e-05]}
{'scores': [0.012622566893696785]},{'scores': [0.0021018751431256533]}
{'scores': [0.001163965673185885]},{'scores': [0.005545976106077433]}
{'scores': [0.0731278732419014]},{'scores': [0.004117139615118504]}
{'scores': [0.002258554333820939]},{'scores': [0.009888820350170135]}
{'scores': [3.743002253031591e-06]},{'scores': [2.793688622659829e-07]}
{'scores': [0.0002889128518290818]},{'scores': [0.0012849902268499136]}
{'scores': [0.001623325515538454]},{'scores': [0.007540515158325434]}
{'scores': [0.011032795533537865]},{'scores': [0.614916980266571]}
{'scores': [0.017465194687247276]},{'scores': [0.0012681118678301573]}
{'scores': [0.0016953632002696395]},{'scores': [0.5111696720123291]}
{'scores': [0.0020003209356218576]},{'scores': [0.0003914050757884979]}
{'scores': [0.019957255572080612]},{'scores': [0.06301789730787277]}
{'scores': [0.004463050048798323]},{'scores': [0.005441985093057156]}
{'scores': [0.13972687721252441]},{'scores': [0.15981803834438324]}
{'scores': [0.0010839237365871668]},{'scores': [9.198085990647087e-07]}
{'scores': [0.14239995181560516]},{'scores': [0.06436342746019363]}
{'scores': [0.00024868990294635296]},{'scores': [5.0125316192861646e-05]}
{'scores': [0.0018002591095864773]},{'scores': [0.0013538890052586794]}
{'scores': [0.00026673945831134915]},{'scores': [0.00022238581732381135]}
{'scores': [0.04959583282470703]},{'scores': [0.045999012887477875]}
{'scores': [0.005973256193101406]},{'scores': [0.0008682134794071317]}
{'scores': [0.0011253876145929098]},{'scores': [0.00037403995520435274]}
{'scores': [0.0009222548105753958]},{'scores': [0.008406274020671844]}
{'scores': [0.000891714938916266]},{'scores': [0.00022499269107356668]}
{'scores': [0.0011942727724090219]},{'scores': [0.0018787134904414415]}
{'scores': [0.00745017733424902]},{'scores': [0.03828614205121994]}
{'scores': [6.588788528461009e-05]},{'scores': [8.69027371663833e-06]}
{'scores': [1.9843662357743597e-06]},{'scores': [3.2795614401948114e-07]}
{'scores': [0.0011960685951635242]},{'scores': [0.0052887569181621075]}
{'scores': [1.1689759048749693e-05]},{'scores': [2.4357339498237707e-05]}
{'scores': [0.0071759275160729885]},{'scores': [0.004527776502072811]}
{'scores': [0.000839495041873306]},{'scores': [8.307217649416998e-05]}
{'scores': [0.018425352871418]},{'scores': [0.018372327089309692]}
{'scores': [5.2781383708122576e-09]},{'scores': [1.1154399182089492e-08]}
{'scores': [0.005696211941540241]},{'scores': [0.0030438369140028954]}
{'scores': [0.03332025930285454]},{'scores': [0.03538355231285095]}
{'scores': [0.007230364251881838]},{'scores': [0.1356610357761383]}
{'scores': [0.010315862484276295]},{'scores': [0.008002680726349354]}
{'scores': [8.812248415779322e-05]},{'scores': [0.0002960953861474991]}
{'scores': [0.011652829125523567]},{'scores': [0.0012989264214411378]}
{'scores': [2.0789303789570113e-07]},{'scores': [1.8929611087514786e-06]}
{'scores': [0.033568352460861206]},{'scores': [0.00704213185235858]}
{'scores': [0.0023741922341287136]},{'scores': [0.0008846290875226259]}
{'scores': [0.00017416116315871477]},{'scores': [0.0008101025014184415]}
{'scores': [0.00040701497346162796]},{'scores': [0.0013021641643717885]}
{'scores': [0.079688660800457]},{'scores': [0.13913193345069885]}
{'scores': [0.00044275185791775584]},{'scores': [0.015795929357409477]}
{'scores': [3.176293830620125e-05]},{'scores': [0.004220719914883375]}
{'scores': [2.1845924891295e-07]},{'scores': [2.1622377971652895e-05]}
{'scores': [1.0363067985963426e-06]},{'scores': [2.1733089283770823e-07]}
{'scores': [0.0035654264502227306]},{'scores': [0.014756498858332634]}
{'scores': [0.015185676515102386]},{'scores': [0.021260691806674004]}
{'scores': [0.02180016040802002]},{'scores': [0.10202862322330475]}
{'scores': [0.0045001995749771595]},{'scores': [0.006477369926869869]}
{'scores': [0.0019456170266494155]},{'scores': [0.006998908706009388]}
{'scores': [0.0018884714227169752]},{'scores': [5.6129752920242026e-05]}
{'scores': [0.010539274662733078]},{'scores': [0.1636098027229309]}
{'scores': [2.0527097603917355e-06]},{'scores': [0.0004383586347103119]}
{'scores': [5.3557173487206455e-06]},{'scores': [0.0001534641778562218]}
{'scores': [0.0017257342115044594]},{'scores': [0.0014870308805257082]}
{'scores': [0.006339840590953827]},{'scores': [0.010387040674686432]}
{'scores': [0.011148692108690739]},{'scores': [0.012379027903079987]}
{'scores': [0.0012026861077174544]},{'scores': [0.0016949429409578443]}
{'scores': [5.805008186143823e-06]},{'scores': [9.995526852435432e-06]}
{'scores': [0.014694945886731148]},{'scores': [0.020639771595597267]}
{'scores': [0.0006629931158386171]},{'scores': [0.07280117273330688]}
{'scores': [0.007639313116669655]},{'scores': [0.005464058369398117]}
{'scores': [0.1528686285018921]},{'scores': [0.08026918768882751]}
{'scores': [0.007716233376413584]},{'scores': [0.004904142115265131]}
{'scores': [0.030452478677034378]},{'scores': [0.01487208716571331]}
{'scores': [0.04479087516665459]},{'scores': [0.037950705736875534]}
{'scores': [0.008456519804894924]},{'scores': [0.0003126957162749022]}
{'scores': [0.002795740496367216]},{'scores': [0.023397739976644516]}
{'scores': [0.00020811433205381036]},{'scores': [0.0031178751960396767]}
{'scores': [0.11125605553388596]},{'scores': [0.061272528022527695]}
{'scores': [0.009866551496088505]},{'scores': [0.003414727048948407]}
{'scores': [0.022799523547291756]},{'scores': [0.017472904175519943]}
{'scores': [0.002050755312666297]},{'scores': [0.00045961845899000764]}
{'scores': [0.0016679300460964441]},{'scores': [0.001439009211026132]}
{'scores': [0.0005799063364975154]},{'scores': [0.0025969529524445534]}
{'scores': [0.0015670686261728406]},{'scores': [0.019432691857218742]}
{'scores': [0.01164714153856039]},{'scores': [0.02088659629225731]}
{'scores': [0.00578728225082159]},{'scores': [0.0006051766686141491]}
{'scores': [0.00845158752053976]},{'scores': [0.011209255084395409]}
{'scores': [0.00021613894205074757]},{'scores': [9.883084567263722e-05]}
{'scores': [0.07925064116716385]},{'scores': [0.1041002944111824]}
{'scores': [0.0033800385426729918]},{'scores': [0.0003282451943960041]}
{'scores': [0.005098976660519838]},{'scores': [0.025202756747603416]}
{'scores': [0.11232737451791763]},{'scores': [0.011122018098831177]}
{'scores': [0.020840881392359734]},{'scores': [0.05389811098575592]}
{'scores': [0.0003271844470873475]},{'scores': [0.00030236312886700034]}
{'scores': [0.00036795291816815734]},{'scores': [0.00012683980457950383]}
{'scores': [0.24162214994430542]},{'scores': [0.11004229635000229]}
{'scores': [5.737531864724588e-06]},{'scores': [1.3423199618500803e-07]}
{'scores': [0.022443003952503204]},{'scores': [0.01572844386100769]}
{'scores': [0.02476954646408558]},{'scores': [0.05319415032863617]}
{'scores': [0.042277611792087555]},{'scores': [0.003917595371603966]}
{'scores': [0.017475923523306847]},{'scores': [0.005477188620716333]}
{'scores': [0.09336302429437637]},{'scores': [0.02508804015815258]}
{'scores': [0.0011441140668466687]},{'scores': [3.988208845839836e-05]}
{'scores': [0.003677757689729333]},{'scores': [0.012674691155552864]}
{'scores': [0.5602381825447083]},{'scores': [0.046496253460645676]}
{'scores': [0.0166509710252285]},{'scores': [0.02220388501882553]}
{'scores': [0.08931339532136917]},{'scores': [0.04376022890210152]}
{'scores': [0.005037279333919287]},{'scores': [0.0421990230679512]}
{'scores': [3.0034590963623486e-05]},{'scores': [0.0002280165790580213]}
{'scores': [0.005625197663903236]},{'scores': [0.0005128564080223441]}
{'scores': [4.669240752264159e-06]},{'scores': [1.3835319805366453e-06]}
{'scores': [0.0005839943769387901]},{'scores': [4.437076859176159e-05]}
{'scores': [2.306257556483615e-06]},{'scores': [1.795526077330578e-05]}
{'scores': [0.021308869123458862]},{'scores': [0.002173215849325061]}
{'scores': [0.0026168159674853086]},{'scores': [0.0013251991476863623]}
{'scores': [0.01824822463095188]},{'scores': [0.016845373436808586]}
{'scores': [3.9693861708656186e-07]},{'scores': [1.9510658603394404e-05]}
